n,c,m,p,k,bestFI,avgFI,avgTimeFI,avgNumGenerationsFI,avgFirstFeasibleGenerationFI,avgBestSolutionGenerationFI,avgBestSolutionTimeFI,bestILP,avgILP,avgTimeILP,avgNumGenerationsILP,avgFirstFeasibleGenerationILP,avgBestSolutionGenerationILP,avgBestSolutionTimeILP
5000,50,2,30,2,254,258.3,3628.3463022000005,56.7,1.0,25.9,1663.2589432,244,247.5,3766.6186112999994,16.3,1.0,13.9,2869.1566254
5000,50,5,0,1,217,218.2,3662.3518314000003,22.9,1.0,10.6,1724.2370204,213,214.0,4059.4579265,9.8,1.0,8.1,3160.0680399000003
5000,50,5,0,3,262,266.9,3668.5996396999994,23.6,1.0,10.8,1736.5992055000002,254,257.8,3888.4117929,11.2,1.0,9.5,3028.2830494
5000,50,5,0,5,286,290.1,3698.698525,26.2,1.0,9.1,1337.5471315999998,279,280.8,3875.1744529000002,11.3,1.0,9.4,3029.4521041
5000,50,5,30,1,215,217.4,3674.6119307,22.1,1.0,13.3,2244.0513269,209,214.6,3940.1053138999996,8.0,1.0,5.3,2403.8212614
5000,50,5,30,3,282,287.3,3683.5235997000004,22.2,1.0,12.0,2024.7695871,269,278.4,3963.2238477000005,10.9,1.0,9.5,3281.2245158000005
5000,50,5,30,5,318,322.4,3671.8996278,25.9,1.0,10.3,1489.0200673,309,312.2,3919.1544827,11.6,1.0,9.4,2853.9681819000007
5000,50,10,0,1,212,218.8,3698.2449393,11.0,1.0,5.1,1764.8199029999996,216,218.4,4112.5570047,5.0,1.0,3.1,2503.1703236999997
5000,50,10,0,5,290,292.0,3719.3282985000005,10.9,1.0,7.4,2565.2815198,284,286.9,3967.163381900001,6.3,1.0,4.5,2692.3512433999995
5000,50,10,0,10,317,319.3,3747.6069615,13.1,1.0,7.3,2135.9658099,307,311.8,4037.0256722999998,7.9,1.0,6.4,3173.036462
5000,50,10,30,1,216,219.5,3848.6719658999996,11.0,1.0,4.9,1773.2456433,214,218.5,4315.7488835,5.0,1.0,2.9,2542.8375499
5000,50,10,30,5,320,323.4,3843.7169944000007,11.1,1.0,6.7,2364.7038992,317,318.8,3689.9212198,6.1,1.0,4.7,2759.4147256
5000,50,10,30,10,369,371.0,3754.3307139,12.7,1.0,7.8,2334.3958413,358,363.5,3932.4029461,7.5,1.0,6.6,3360.8497687000004
10000,100,2,0,1,382,385.1,3677.5368470000003,15.5,1.0,8.9,2181.1565235999997,366,373.1,3923.1556338,8.0,1.0,7.3,3481.5041402
10000,100,2,0,2,429,434.7,3707.2227058999997,15.5,1.0,7.0,1749.6109086999998,420,421.4,3886.2120356,8.0,1.0,7.1,3335.6353341000004
10000,100,2,30,1,382,385.3,3700.9662029,15.4,1.0,9.3,2288.3948341,370,372.4,4042.0906754999996,8.0,1.0,6.2,2952.4356863
10000,100,2,30,2,449,456.0,3667.2930127,15.1,1.0,10.5,2595.2402308,436,440.1,3982.1538172,8.0,1.0,6.8,3239.7569466
10000,100,5,0,1,382,387.7,4107.1228046999995,6.0,1.0,4.4,3075.1432380000006,378,384.3,4048.7997561,3.0,1.0,2.4,3248.8788753999997
10000,100,5,0,3,452,464.5,4052.8433201,6.1,1.0,4.0,2735.4553920999997,454,457.9,4306.8915536,3.7,1.0,2.7,3168.8185648999997
10000,100,5,0,5,496,501.3,3862.7227422999995,6.8,1.0,4.7,2702.5957988,486,490.9,4003.39122,4.2,1.0,3.7,3518.8655847
10000,100,5,30,1,384,386.9,4088.2558738,6.3,1.0,4.4,2965.2402558,380,384.0,4099.0227196,3.0,1.0,1.9,2652.785554
10000,100,5,30,3,495,501.2,3916.3394954999994,7.5,1.0,4.3,2374.173323,484,491.0,4250.542884,4.3,1.0,4.0,3962.4865669000005
10000,100,5,30,5,552,556.6,3899.0863441,9.0,1.0,6.8,2982.7051850999997,538,541.2,4285.349936199999,5.0,1.0,4.2,3504.1885094
10000,100,10,0,1,384,389.6,4443.308932599999,4.0,1.0,2.3,2704.3971229999997,385,389.6,4350.390164699999,2.0,1.0,1.5,3231.5804074
10000,100,10,0,5,499,504.2,4307.3622089,3.8,1.0,2.8,3264.2989754,496,499.3,4131.777697200001,2.0,1.0,1.9,3917.6261686000007
10000,100,10,0,10,553,555.0,4412.9368889,4.0,1.0,3.2,3599.1625602,538,547.8,3887.0377228999996,2.0,1.0,1.9,3696.8281745999993
10000,100,10,30,1,388,389.6,4494.125241600001,4.0,1.0,2.3,2721.6902741,382,390.3,4295.4658093,2.0,1.0,1.4,2978.1798842000003
10000,100,10,30,5,549,556.6,4437.3271448,4.0,1.0,2.9,3301.7119413,549,552.0,4137.1526573,2.0,1.0,1.8,3726.3251638
10000,100,10,30,10,627,631.9,4419.3559295000005,4.0,1.0,3.1,3500.5211086000004,616,624.5,4064.7993516,2.0,1.0,1.8,3665.3886201
